date,product,category,region,salesperson,revenue,units_sold,discount
2024-01-05,Laptop Pro,Electronics,North,Alice,1250,1,5
2024-01-08,Wireless Mouse,Accessories,South,Bob,45,3,0
2024-01-10,Office Chair,Furniture,East,Carol,320,2,10
2024-01-12,Laptop Pro,Electronics,West,Alice,1250,1,5
2024-01-15,Standing Desk,Furniture,North,David,580,1,15
2024-01-18,USB Hub,Accessories,South,Bob,35,5,0
2024-01-20,Monitor 27",Electronics,East,Carol,420,1,5
2024-01-22,Keyboard RGB,Accessories,West,Eve,89,2,0
2024-01-25,Laptop Air,Electronics,North,Alice,999,1,0
2024-01-28,Webcam HD,Accessories,South,Bob,75,2,5
2024-02-02,Laptop Pro,Electronics,East,Carol,1250,1,5
2024-02-05,Office Chair,Furniture,West,David,320,3,10
2024-02-08,Wireless Mouse,Accessories,North,Eve,45,6,0
2024-02-10,Monitor 27",Electronics,South,Alice,420,2,5
2024-02-14,Standing Desk,Furniture,East,Bob,580,1,15
2024-02-18,USB Hub,Accessories,West,Carol,35,8,0
2024-02-20,Laptop Air,Electronics,North,David,999,2,0
2024-02-22,Keyboard RGB,Accessories,South,Eve,89,3,0
2024-02-25,Webcam HD,Accessories,East,Alice,75,4,5
2024-02-28,Laptop Pro,Electronics,West,Bob,1250,1,5
2024-03-03,Monitor 27",Electronics,North,Carol,420,1,5
2024-03-06,Office Chair,Furniture,South,David,320,2,10
2024-03-10,Standing Desk,Furniture,West,Eve,580,2,15
2024-03-13,Wireless Mouse,Accessories,East,Alice,45,9,0
2024-03-15,USB Hub,Accessories,North,Bob,35,12,0
2024-03-18,Laptop Air,Electronics,South,Carol,999,1,0
2024-03-20,Keyboard RGB,Accessories,West,David,89,4,0
2024-03-22,Webcam HD,Accessories,East,Eve,75,3,5
2024-03-25,Laptop Pro,Electronics,North,Alice,1250,2,5
2024-03-28,Monitor 27",Electronics,South,Bob,420,3,5
2024-04-02,Office Chair,Furniture,West,Carol,320,1,10
2024-04-05,Standing Desk,Furniture,East,David,580,1,15
2024-04-08,Wireless Mouse,Accessories,North,Eve,45,7,0
2024-04-10,Laptop Pro,Electronics,South,Alice,1250,1,5
2024-04-14,USB Hub,Accessories,West,Bob,35,10,0
2024-04-17,Laptop Air,Electronics,East,Carol,999,3,0
2024-04-20,Keyboard RGB,Accessories,North,David,89,5,0
2024-04-23,Webcam HD,Accessories,South,Eve,75,2,5
2024-04-26,Monitor 27",Electronics,West,Alice,420,2,5
2024-04-29,Laptop Pro,Electronics,East,Bob,1250,1,5
2024-05-03,Standing Desk,Furniture,North,Carol,580,1,15
2024-05-07,Office Chair,Furniture,South,David,320,4,10
2024-05-10,Wireless Mouse,Accessories,West,Eve,45,11,0
2024-05-13,Laptop Air,Electronics,East,Alice,999,2,0
2024-05-16,USB Hub,Accessories,North,Bob,35,14,0
2024-05-19,Keyboard RGB,Accessories,South,Carol,89,6,0
2024-05-22,Webcam HD,Accessories,West,David,75,3,5
2024-05-25,Monitor 27",Electronics,East,Eve,420,1,5
2024-05-28,Laptop Pro,Electronics,North,Alice,1250,2,5
2024-05-31,Standing Desk,Furniture,South,Bob,580,2,15
